Wall time,Step,Value
1617696517.8325148,1,94.75899505615234
1617696546.2703316,2,97.31134033203125
1617696550.583941,3,93.77678680419922
1617696554.8973696,4,82.01661682128906
1617696559.175527,5,69.50457000732422
1617696563.502458,6,44.99386978149414
1617696567.82353,7,90.67098236083984
1617696572.1552038,8,53.33358383178711
1617696576.4429443,9,32.445045471191406
1617696580.7705078,10,31.45634651184082
1617696585.0858228,11,32.541587829589844
1617696589.3903296,12,43.804935455322266
1617696593.7235644,13,45.25480651855469
1617696598.026065,14,33.59602737426758
1617696602.3486571,15,20.99181365966797
1617696606.6785052,16,22.078554153442383
1617696611.0076509,17,25.122798919677734
1617696615.3239312,18,21.58668327331543
1617696619.6430783,19,27.058216094970703
1617696623.9769602,20,26.92966651916504
1617696628.2802594,21,28.536758422851562
1617696632.6282568,22,26.920486450195312
1617696636.957849,23,30.30613899230957
1617696641.288288,24,32.881778717041016
1617696645.5901241,25,33.76892852783203
1617696671.5555546,26,33.07590103149414
1617696697.9094288,27,33.14154052734375
1617696702.3339806,28,33.28127670288086
1617696706.7677193,29,33.82093048095703
1617696711.2056956,30,32.956390380859375
1617696715.6461327,31,33.9024543762207
1617696720.0756898,32,34.353336334228516
1617696724.5194647,33,34.66435241699219
1617696728.9441357,34,33.70698928833008
1617696733.3739238,35,33.866207122802734
1617696737.7948413,36,33.004364013671875
1617696742.2286806,37,34.01311492919922
1617696746.6946173,38,32.332420349121094
1617696751.1522691,39,33.08721160888672
1617696755.5916274,40,32.525535583496094
1617696760.032012,41,33.0621452331543
1617696764.4830475,42,33.95355224609375
1617696768.9534056,43,32.873294830322266
1617696773.4144704,44,32.78842544555664
1617696777.8549464,45,33.60759735107422
1617696782.3063896,46,33.782501220703125
1617696786.7815046,47,33.87299728393555
1617696791.2371268,48,34.69504928588867
1617696795.6721218,49,34.22111129760742
1617696800.1412554,50,33.384002685546875
1617696825.8652968,51,34.87453079223633
1617696851.8142173,52,33.385311126708984
1617696856.361239,53,33.942596435546875
1617696861.127897,54,33.73959732055664
1617696865.5743597,55,34.68123245239258
1617696870.0133219,56,33.60810470581055
1617696874.4759803,57,34.0240478515625
1617696878.9691677,58,33.63471603393555
1617696883.4768753,59,34.0909423828125
1617696887.9939077,60,33.74095153808594
1617696892.4807158,61,34.13026428222656
1617696896.973188,62,33.93235397338867
1617696901.501476,63,33.245399475097656
1617696905.9883392,64,32.55582809448242
1617696910.5080929,65,32.846378326416016
1617696914.993652,66,32.157867431640625
1617696919.5112312,67,33.69580078125
1617696924.0239193,68,33.60187530517578
1617696928.5476918,69,33.23865509033203
1617696933.0365126,70,32.5040168762207
1617696937.5659509,71,32.68522262573242
1617696942.0817688,72,32.604251861572266
1617696946.569896,73,31.910978317260742
1617696951.0577245,74,31.871171951293945
1617696955.5194972,75,32.87395477294922
1617696981.2553434,76,32.521087646484375
1617697006.662995,77,32.7198371887207
1617697011.2302806,78,31.939271926879883
1617697015.777367,79,32.9182243347168
1617697020.389479,80,32.675113677978516
1617697025.002933,81,32.56199645996094
1617697029.6155033,82,33.17863464355469
1617697034.2264264,83,33.61831283569336
1617697038.8583996,84,33.67194747924805
1617697043.462816,85,33.7689323425293
1617697048.0869484,86,33.654930114746094
1617697052.7050593,87,32.944522857666016
1617697057.3194156,88,34.045833587646484
1617697061.9113984,89,33.70944595336914
1617697066.4983437,90,33.59068298339844
1617697071.1184094,91,33.75151443481445
1617697075.7444172,92,32.73831558227539
1617697080.4033806,93,33.9721794128418
1617697085.0508494,94,33.874473571777344
1617697089.6843767,95,34.328060150146484
1617697094.25911,96,34.219966888427734
1617697098.8493204,97,33.66697311401367
1617697103.4770472,98,33.889869689941406
1617697108.0925076,99,33.97989273071289
1617697112.7248647,100,32.70170593261719
1617697139.0290112,101,32.4171028137207
1617697165.0609298,102,32.90232849121094
1617697169.7328496,103,32.44210433959961
1617697174.4185452,104,32.56589126586914
1617697179.1268864,105,33.64957046508789
1617697183.7927527,106,31.8983097076416
1617697188.4669707,107,31.426780700683594
1617697193.1349156,108,32.064640045166016
1617697197.8279662,109,33.65168380737305
1617697202.5381608,110,33.25123977661133
1617697207.2150326,111,32.702919006347656
1617697211.8888755,112,32.68364715576172
1617697216.5701265,113,32.38298034667969
1617697221.2741804,114,33.14296340942383
1617697225.9504712,115,32.288448333740234
1617697230.644549,116,32.37863540649414
1617697235.3555627,117,33.21092224121094
1617697240.0721614,118,32.38579559326172
1617697244.775196,119,33.45795440673828
1617697249.4939587,120,33.29668426513672
1617697254.2599394,121,33.348323822021484
1617697258.9993494,122,33.2828369140625
1617697263.7201908,123,33.83968734741211
1617697268.4439702,124,33.03459930419922
1617697273.1699946,125,33.47742462158203
1617697299.7363017,126,33.12434387207031
1617697326.1315863,127,33.808349609375
1617697330.921878,128,33.07128143310547
1617697335.6585155,129,33.144935607910156
1617697340.405053,130,32.72227478027344
1617697345.150647,131,33.665103912353516
1617697349.90931,132,33.9871711730957
1617697354.6959522,133,33.33445358276367
1617697359.4288645,134,33.38395309448242
1617697364.2147155,135,33.390380859375
1617697368.983922,136,33.66801452636719
1617697373.753757,137,33.70410919189453
1617697378.5605175,138,33.438106536865234
1617697383.3378787,139,33.508968353271484
1617697388.1096108,140,33.1340217590332
1617697392.8948004,141,33.516117095947266
1617697397.6560535,142,33.44273376464844
1617697402.434867,143,31.852092742919922
1617697407.2057319,144,33.421836853027344
1617697412.013962,145,33.34581756591797
1617697416.7954912,146,33.28520202636719
1617697421.6168761,147,33.40103530883789
1617697426.4311435,148,33.82163619995117
1617697431.2511606,149,33.3859748840332
1617697436.0737095,150,33.3062629699707
1617697463.0936213,151,33.445465087890625
1617697489.8527339,152,33.154720306396484
1617697494.7363772,153,33.512516021728516
1617697499.5713592,154,33.02119064331055
1617697504.4619927,155,33.44216537475586
1617697509.3114593,156,33.783939361572266
1617697514.1780403,157,34.21417236328125
1617697519.0678267,158,33.7591552734375
1617697523.9650092,159,34.206275939941406
1617697528.8771503,160,34.16950988769531
1617697533.7847657,161,33.901756286621094
1617697538.6835942,162,34.100372314453125
1617697543.604482,163,32.28303909301758
1617697548.4916792,164,31.47030258178711
1617697553.3845296,165,32.09343338012695
1617697558.2876933,166,32.4002799987793
1617697563.2025657,167,32.7232551574707
1617697568.0679665,168,32.81371307373047
1617697572.9081235,169,33.45695114135742
1617697577.798135,170,32.37067413330078
1617697582.6530862,171,33.29059982299805
1617697587.5130854,172,33.66814041137695
1617697592.392919,173,33.17612838745117
1617697597.2709556,174,33.00565719604492
1617697602.1588893,175,32.39755630493164
1617697628.9430063,176,33.4049072265625
1617697655.6269088,177,32.70808792114258
1617697660.5981486,178,32.597476959228516
1617697665.5873537,179,33.12920379638672
1617697670.4838095,180,32.64086151123047
1617697675.4164858,181,33.232696533203125
1617697680.3456578,182,33.70539093017578
1617697685.2893064,183,33.56528854370117
1617697690.2221606,184,33.484886169433594
1617697695.1390135,185,34.531368255615234
1617697700.0688472,186,34.800743103027344
1617697705.0198586,187,33.88786697387695
1617697709.9751701,188,34.41108322143555
1617697714.927736,189,34.59845733642578
1617697719.8931317,190,34.90353775024414
1617697724.8995833,191,34.52348709106445
1617697729.8967297,192,34.050933837890625
1617697734.9254954,193,33.82731246948242
1617697739.886208,194,33.50165557861328
1617697744.8848095,195,34.16377258300781
1617697749.8369586,196,33.23222732543945
1617697754.8303902,197,33.2056770324707
1617697759.8328834,198,33.97862243652344
1617697764.8572557,199,34.15185546875
1617697769.8875146,200,34.56242752075195
1617697796.7369595,201,34.613224029541016
1617697823.5916917,202,34.26837158203125
1617697828.6467295,203,34.213619232177734
1617697833.7686706,204,33.711917877197266
1617697838.86224,205,34.37089157104492
1617697843.9414797,206,31.095073699951172
1617697849.0445209,207,32.294097900390625
1617697854.1756287,208,33.13495635986328
1617697859.2831006,209,31.515117645263672
1617697864.374761,210,33.8999137878418
1617697869.4744775,211,33.2047119140625
1617697874.5549126,212,33.8543701171875
1617697879.6412199,213,35.90670394897461
1617697884.7688751,214,36.14939880371094
1617697889.8463635,215,36.09473419189453
1617697894.9688468,216,36.58284378051758
1617697900.1007173,217,36.7293701171875
1617697905.1748755,218,35.39049530029297
1617697910.2792666,219,36.11811447143555
1617697915.3936875,220,36.8758659362793
1617697920.4918048,221,35.30264663696289
1617697925.6041217,222,36.395835876464844
1617697930.6984353,223,36.864437103271484
1617697935.8218522,224,35.7548942565918
1617697940.9139183,225,36.09519958496094
1617697967.8854454,226,34.564613342285156
1617697994.8091998,227,36.055397033691406
1617697999.9878125,228,35.65264129638672
1617698005.1594536,229,35.236026763916016
1617698010.372579,230,35.425880432128906
1617698015.5064,231,35.49887466430664
1617698020.6034055,232,35.43101501464844
1617698025.7084928,233,36.0271110534668
1617698030.7678962,234,35.83066177368164
1617698035.899512,235,36.13896179199219
1617698040.9934134,236,35.97784423828125
1617698046.0960424,237,35.089420318603516
1617698051.1744692,238,35.31349563598633
1617698056.2668092,239,35.70425796508789
1617698061.3720598,240,35.451412200927734
