Wall time,Step,Value
1618241991.1879237,1,28.040929794311523
1618242019.7341895,2,12.328207969665527
1618242023.9767063,3,8.254692077636719
1618242028.2372,4,7.224020957946777
1618242032.4937527,5,6.293699741363525
1618242036.7991893,6,9.092257499694824
1618242041.0878317,7,12.900368690490723
1618242045.454676,8,7.740442752838135
1618242049.9161398,9,5.492676734924316
1618242054.3339562,10,3.6915128231048584
1618242058.7750652,11,4.178221225738525
1618242063.1076822,12,4.2841105461120605
1618242067.4062684,13,4.5485405921936035
1618242071.664622,14,3.7175400257110596
1618242075.8963063,15,3.819892406463623
1618242080.13874,16,3.56982159614563
1618242084.3737745,17,3.239156484603882
1618242088.601484,18,2.5897016525268555
1618242092.8006303,19,2.723684072494507
1618242097.0218675,20,2.58380389213562
1618242101.2471745,21,2.5247037410736084
1618242105.485045,22,2.3220624923706055
1618242109.6974692,23,3.0605576038360596
1618242113.8855863,24,3.226987361907959
1618242118.0898666,25,2.2416019439697266
1618242145.1987777,26,2.10498046875
1618242171.3127804,27,2.120018482208252
1618242175.6060433,28,1.9726622104644775
1618242179.9917486,29,2.2462189197540283
1618242184.1748154,30,2.25410795211792
1618242188.414577,31,2.003460168838501
1618242192.7773519,32,1.7110023498535156
1618242196.9854543,33,1.948355793952942
1618242201.2009916,34,1.770028829574585
1618242205.459586,35,1.9321047067642212
1618242209.7192276,36,1.569933533668518
1618242213.982007,37,1.4139089584350586
1618242218.2176673,38,1.4731566905975342
1618242222.983919,39,1.2494174242019653
1618242227.9481997,40,1.2214367389678955
1618242232.9046612,41,1.2440228462219238
1618242237.7024035,42,1.464172601699829
1618242242.5073392,43,1.2264208793640137
1618242247.2846484,44,1.1436876058578491
1618242252.0299237,45,1.260087251663208
1618242256.8594537,46,1.1380813121795654
1618242261.6376271,47,1.0895662307739258
1618242266.4735634,48,1.1166828870773315
1618242271.3410041,49,1.5556340217590332
1618242276.179394,50,1.4486746788024902
1618242303.5554469,51,1.2043434381484985
1618242329.8184075,52,1.1759772300720215
1618242334.6441965,53,1.1631568670272827
1618242339.5241876,54,1.1533457040786743
1618242344.4548204,55,0.981462836265564
1618242349.3736773,56,0.9766627550125122
1618242354.246385,57,0.8710970282554626
1618242359.1178122,58,1.0057907104492188
1618242363.989102,59,0.9619332551956177
1618242368.8559427,60,0.9232404232025146
1618242373.7520425,61,0.9758414626121521
1618242378.6798632,62,1.0558419227600098
1618242382.9671013,63,0.8884091377258301
1618242387.170581,64,0.8405043482780457
1618242391.4109387,65,0.792266845703125
1618242395.654526,66,0.7608490586280823
1618242399.9063573,67,0.7577173113822937
1618242404.1686049,68,0.9025140404701233
1618242408.3956623,69,0.7847368121147156
1618242412.6467252,70,0.7503445148468018
1618242416.894709,71,0.6935619711875916
1618242421.1325767,72,0.6733395457267761
1618242425.390726,73,0.9758111834526062
1618242429.6369936,74,0.7330159544944763
1618242433.8957877,75,0.7049356698989868
1618242460.0534487,76,0.7203997373580933
1618242485.8730361,77,0.764089047908783
1618242490.256931,78,0.7277871966362
1618242495.1400676,79,0.7524712085723877
1618242500.0869632,80,0.8280497193336487
1618242505.0884714,81,0.8009158372879028
1618242510.0755808,82,0.7799522280693054
1618242515.172611,83,0.7478652596473694
1618242520.1083639,84,0.79794842004776
1618242524.4622204,85,0.7984987497329712
1618242528.711191,86,0.7216652631759644
1618242532.9466906,87,0.6611750721931458
1618242537.1910431,88,0.6775892376899719
1618242541.41979,89,0.6325609087944031
1618242545.6565964,90,0.6823509335517883
1618242549.884299,91,0.6629118919372559
1618242554.129079,92,0.6476246118545532
1618242558.3818204,93,0.9692745804786682
1618242562.6052802,94,0.7238143086433411
1618242566.8198602,95,0.7804954051971436
1618242571.0609946,96,0.6741899251937866
1618242575.2868395,97,0.6370344161987305
1618242579.496285,98,0.5829514265060425
1618242583.707591,99,0.6736243963241577
1618242587.9495072,100,0.6665502786636353
1618242614.2359576,101,0.6949008703231812
1618242639.957715,102,0.7393220663070679
1618242644.151111,103,0.5946272015571594
1618242648.3746808,104,0.5648025274276733
1618242652.5980825,105,0.6338320970535278
1618242656.7994134,106,0.6526609063148499
1618242661.0151322,107,0.6772868037223816
1618242665.2595031,108,0.5587430596351624
1618242669.4817984,109,0.5567783713340759
1618242673.7253807,110,0.588203489780426
1618242677.9452045,111,0.6067953109741211
1618242682.1873095,112,0.6907831430435181
1618242686.4227896,113,0.5672059655189514
1618242690.6516833,114,0.5311421155929565
1618242694.8813376,115,0.600837230682373
1618242699.1171687,116,0.5531588196754456
1618242703.3494127,117,0.5373772382736206
