Wall time,Step,Value
1618327937.4863002,1,17.35207748413086
1618328114.944063,2,6.097750663757324
1618328171.7546508,3,4.4148406982421875
1618328228.2999067,4,3.758026123046875
1618328284.9535573,5,3.4204838275909424
1618328341.4709418,6,2.893284320831299
1618328397.88702,7,2.819827079772949
1618328454.3683465,8,2.7609660625457764
1618328510.8536017,9,2.9645841121673584
1618328567.6068544,10,3.0182487964630127
1618328623.7074873,11,2.2805941104888916
1618328679.8112602,12,2.266796827316284
1618328735.9194376,13,2.2990875244140625
1618328792.0622,14,2.082190990447998
1618328848.187219,15,1.9529852867126465
1618328904.2522686,16,1.98307466506958
1618328960.3427615,17,1.9583789110183716
1618329016.4157445,18,1.696110725402832
1618329072.523435,19,1.903421401977539
1618329128.6101358,20,1.836861491203308
1618329184.7032425,21,1.6418060064315796
1618329241.6911757,22,1.6408357620239258
1618329298.1335564,23,1.4945056438446045
1618329354.5758877,24,1.440316081047058
1618329411.0901747,25,1.5451327562332153
1618329563.8566823,26,1.3849601745605469
1618329717.317322,27,1.3880575895309448
1618329774.3910654,28,1.3268718719482422
1618329830.5520775,29,1.5300161838531494
1618329886.761122,30,1.630232810974121
1618329942.9662423,31,1.2373801469802856
1618329999.1480281,32,1.138985514640808
1618330055.3578694,33,1.4892812967300415
1618330111.5920215,34,1.1501802206039429
1618330167.7809746,35,1.1346275806427002
1618330223.9849553,36,1.1014361381530762
1618330280.164055,37,1.0653959512710571
1618330336.3321695,38,1.1410102844238281
1618330392.683071,39,1.0705955028533936
1618330448.9145186,40,1.0608177185058594
1618330505.155313,41,1.0089877843856812
1618330561.3536053,42,1.0307892560958862
1618330617.5694942,43,1.0300931930541992
1618330673.8342695,44,1.0164414644241333
1618330729.9939072,45,1.0319936275482178
1618330786.2086694,46,1.1586434841156006
1618330842.4700885,47,1.0501593351364136
1618330898.7304215,48,1.0247013568878174
1618330954.9610424,49,0.9532529711723328
1618331011.2029052,50,0.9192826747894287
1618331160.6635377,51,0.907322347164154
1618331308.3872097,52,0.7930558919906616
1618331364.5782828,53,0.7873215079307556
1618331420.8497753,54,0.7269480228424072
